# kaynak veri/kopru/capraz_kontrol.npz; CSV 1/10 seyreltildi, PNG tam cozunurlukten cizildi; voltaj maks fark 0 mV
# dogrulama_capraz.png kaynak verisi
t_ms,v_hoc,v_py,fark_mV
124,-65.514,-65.514,0
124.25,-65.5106,-65.5106,0
124.5,-65.5072,-65.5072,0
124.75,-65.5038,-65.5038,0
125,-65.5004,-65.5004,0
125.25,-65.497,-65.497,0
125.5,-65.4936,-65.4936,0
125.75,-65.4903,-65.4903,0
126,-65.4869,-65.4869,0
126.25,-65.4836,-65.4836,0
126.5,-65.4803,-65.4803,0
126.75,-65.4769,-65.4769,0
127,-65.4736,-65.4736,0
127.25,-65.4703,-65.4703,0
127.5,-65.467,-65.467,0
127.75,-65.4637,-65.4637,0
128,-65.4605,-65.4605,0
128.25,-65.4572,-65.4572,0
128.5,-65.454,-65.454,0
128.75,-65.4507,-65.4507,0
129,-65.4475,-65.4475,0
129.25,-65.4443,-65.4443,0
129.5,-65.441,-65.441,0
129.75,-65.4378,-65.4378,0
130,-65.4346,-65.4346,0
130.25,-65.4314,-65.4314,0
130.5,-65.4283,-65.4283,0
130.75,-65.4251,-65.4251,0
131,-65.4219,-65.4219,0
131.25,-65.4188,-65.4188,0
131.5,-65.4156,-65.4156,0
131.75,-65.4125,-65.4125,0
132,-65.4093,-65.4093,0
132.25,-65.4062,-65.4062,0
132.5,-65.4031,-65.4031,0
132.75,-65.4,-65.4,0
133,-65.3969,-65.3969,0
133.25,-65.3938,-65.3938,0
133.5,-65.3907,-65.3907,0
133.75,-65.3877,-65.3877,0
134,-65.3846,-65.3846,0
134.25,-65.3816,-65.3816,0
134.5,-65.3785,-65.3785,0
134.75,-65.3755,-65.3755,0
135,-65.3724,-65.3724,0
135.25,-65.3694,-65.3694,0
135.5,-65.3664,-65.3664,0
135.75,-65.3634,-65.3634,0
136,-65.3604,-65.3604,0
136.25,-65.3574,-65.3574,0
136.5,-65.3544,-65.3544,0
136.75,-65.3514,-65.3514,0
137,-65.3485,-65.3485,0
137.25,-65.3455,-65.3455,0
137.5,-65.3425,-65.3425,0
137.75,-65.3396,-65.3396,0
138,-65.3367,-65.3367,0
138.25,-65.3337,-65.3337,0
138.5,-65.3308,-65.3308,0
138.75,-65.3279,-65.3279,0
